ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0157 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0177 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0271 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0943 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.1463 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0957 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.101 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0931 MG of Copper, Cu, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0959 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0222 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0152 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0297 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0216 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0193 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0274 MG of Copper, Cu, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0 UG of Iodine, I, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.2085 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.273 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.17 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.23 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.16 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.264 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.181 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0387 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0313 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0504 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.054 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0403 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0411 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.042 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0454 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.201 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.2347 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.1655 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.171 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.261 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.18 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0415 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0387 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0795 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0483 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0401 MG of Manganese, Mn, 
ALMOND MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 0.0383 MG of Manganese, Mn, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 39.6 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 27.8 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 222.0 UG of Molybdenum, Mo, 
SOY MILK, UNSWEETENED, PLAIN, SHELF STABLE contains 41.9 UG of Molybdenum, Mo, 
